"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"동대문구","교습소","3000031086","점프셈장안점수학교습소","서울특별시 동대문구 답십리로 291-3","/ 4층 (장안동)","입시.검정 및 보습","보통교과","","보습","63","9","","Y","N","02523","개원","20180219","","","20180219","20220508"
"양천구","학원","3000031098","베캠에듀학원","서울특별시 양천구 신목로12길 7","/ 2층 (신정동)","입시.검정 및 보습","보통교과","","보습","60","69","","Y","N","08009","개원","20180220","","","20180220","20220508"
"노원구","교습소","3000031100","캥거루영어교습소","서울특별시 노원구 상계로1길 74","/ 2층 3호 일부 (상계동)","입시.검정 및 보습","보통교과","","보습","16","8","","Y","N","01693","개원","20180221","","","20180221","20220508"
"노원구","교습소","3000031103","피오나영어교습소","서울특별시 노원구 상계로1길 74","/ 2층 3호 일부 (상계동)","입시.검정 및 보습","보통교과","","보습","13","8","","Y","N","01693","개원","20180221","","","20180221","20220508"
"강남구","학원","3000031108","시원스터디학원","서울특별시 강남구 밤고개로 231","/ 209호 일부 (율현동/ 훼미리타운A동)","입시.검정 및 보습","보통교과","보습?논술/","보습?논술","150","74","","Y","N","06370","개원","20180213","","","20180213","20220508"
"동대문구","교습소","3000031111","해법장평아카데미영어교습소","서울특별시 동대문구 장안벚꽃로 167","/ 주상가동 224호 (장안동/ 래미안장안2차아파트)","입시.검정 및 보습","보통교과","","보습","15","3","","Y","N","02524","개원","20180221","","","20180221","20220508"
"영등포구","학원","3000031112","케이투위더스(K2Withus)삼성타운관학원","서울특별시 영등포구 당산로44길 3","/ 503호 (삼성타운/당산동5가)","입시.검정 및 보습","보통교과","","보습","110","76","","Y","N","07214","개원","20180221","","","20180221","20220508"
"구로구","교습소","3000031113","제이타운영어교습소","서울특별시 구로구 구로중앙로7길 28","/ 312호 (구로동/ 극동상가)","입시.검정 및 보습","보통교과","","보습","18","6","","Y","N","08312","개원","20180221","","","20180221","20220508"
"송파구","교습소","3000031117","프렌즈수학교습소","서울특별시 송파구 백제고분로42길 14","/ 303호 (송파동)","입시.검정 및 보습","보통교과","초등1/2수학(주5회/회60분)","보습","36","9","","Y","N","05667","개원","20180222","","","20180222","20220508"
"송파구","학원","3000031120","새움수1관학원","서울특별시 송파구 위례성대로 180","/ 2층일부(동관) (오금동)","입시.검정 및 보습","보통교과","보습/","보습","170","90","","Y","N","05653","개원","20180222","","","20180222","20220508"
"성북구","교습소","3000031122","GGE영어교습소","서울특별시 성북구 정릉로 305","/ 2층 204호 (정릉동/ 경남아파트)","입시.검정 및 보습","보통교과","초등영어1","보습","36","4","초등영어1:100000/ 초등영어2:130000/ 초등영어3:140000/ 초등영어4:150000/ 중등영어1:170000/ 중등영어2:190000/ 중등영어3:200000/ 중등영어4:210000/ 고등영어:250000","Y","N","02719","개원","20180213","","","20180213","20220508"
"노원구","교습소","3000031124","매쓰위너수학교습소","서울특별시 노원구 덕릉로73길 28","/ 상가동 205호 (중계동/ 양지대림아파트)","입시.검정 및 보습","보통교과","","보습","56","9","","Y","N","01706","개원","20180223","","","20180223","20220508"
"강동구","학원","3000031125","배움자리학원","서울특별시 강동구 양재대로136길 24","/ 2층전체 (명일동)","입시.검정 및 보습","보통교과","","보습","180","60","","Y","N","05294","개원","20180223","","","20180223","20220508"
"마포구","학원","3000031126","매스토크학원","서울특별시 마포구 백범로 91","/ 5층 (대흥동)","입시.검정 및 보습","보통교과","","보습","24","70","","Y","N","04111","개원","20180214","","","20180214","20220508"
"송파구","학원","3000031129","다올학원","서울특별시 송파구 마천로8길 1","/ 3층 (오금동)","입시.검정 및 보습","보통교과","보습/","보습","65","40","","Y","N","05659","개원","20180223","","","20180223","20220508"
"구로구","학원","3000031131","더베스트영수학원","서울특별시 구로구 경서로 15","/ 3층 (고척동)","입시.검정 및 보습","보통교과","보습/","보습","390","85","","Y","N","08232","개원","20180223","","","20180223","20220508"
"노원구","학원","3000031144","강북청솔3관학원","서울특별시 노원구 한글비석로 242","/ 505호일부 (중계동/ 삼부프라자)","입시.검정 및 보습","보통교과","보습/보습?논술/","보습","5600","154","","Y","N","01734","개원","20180226","","","20180226","20220508"
"서초구","학원","3000031148","공터영어서초힐스센터학원","서울특별시 서초구 중앙로 582","/ 6층 602호/603호 (우면동)","입시.검정 및 보습","보통교과","보습?논술/","보습?논술","188","78","","Y","N","06767","개원","20180214","","","20180214","20220508"
"강남구","교습소","3000031150","엑스텐고등영어교습소","서울특별시 강남구 도곡로78길 22","/ 2층 211호(상가동) (대치동/ 대치삼성아파트)","입시.검정 및 보습","보통교과","영어 고등A","보습","9","3","영어 고등A:630000/ 영어 고등B:510000/ 영어 고등C:120000","Y","N","06279","개원","20180223","","","20180223","20220508"
"강동구","교습소","3000031152","윤선생우리집앞영어교실천동영어교습소","서울특별시 강동구 성안로 201","/ 4층 일부 401호 (천호동)","입시.검정 및 보습","보통교과","","보습","27","9","","Y","N","05331","개원","20180226","","","20180226","20220508"
"동작구","학원","3000031154","비상잉글리시아이학원","서울특별시 동작구 사당로2가길 102","/ 201~204호 (사당동)","입시.검정 및 보습","보통교과","보습/","보습","135","80","","Y","N","07028","개원","20180223","","","20180223","20220508"
"광진구","교습소","3000031156","한밀러(HanMiller)영어교습소","서울특별시 광진구 영화사로7길 45","/ 1층 (중곡동)","입시.검정 및 보습","보통교과","","보습","9","3","초등영어:165000/ 초등영어:180000/ 중등영어:240000/ 고등영어:350000","Y","N","04946","개원","20180221","","","20180221","20220508"
"양천구","교습소","3000031164","김상현국어교습소","서울특별시 양천구 목동동로 391","/ 312호 (목동/ 현대파크빌)","입시.검정 및 보습","보통교과","","보습","6","3","","Y","N","07983","개원","20180227","","","20180227","20220508"
"동작구","교습소","3000031166","에이스수학교습소","서울특별시 동작구 사당로20길 28","/ 1층 일부(전면 우측) (사당동)","입시.검정 및 보습","보통교과","초등수학","보습","10","5","","Y","N","07011","개원","20180227","","","20180227","20220508"
"영등포구","학원","3000031167","아이맥스학원","서울특별시 영등포구 여의대방로43라길 6","/ 5층 일부 (신길동/신길프라자)","입시.검정 및 보습","보통교과","보습/","보습","130","68","","Y","N","07358","개원","20180227","","","20180227","20220508"
"서대문구","교습소","3000031171","제스트영어교습소","서울특별시 서대문구 가재울로4길 67","/ 3층 (남가좌동)","입시.검정 및 보습","보통교과","","보습","15","5","","Y","N","03692","개원","20180228","","","20180228","20220508"
"용산구","교습소","3000031179","한우리독서토론논술교실원효국어교습소","서울특별시 용산구 백범로 341","/ 115호 (원효로1가/ 리첸시아 용산B)","입시.검정 및 보습","보통교과","생각하는나무","보습","27","9","생각하는나무:88320/ 소크라테스(중등):120000/ 소크라테스(고등):158000","Y","N","04315","개원","20180301","","","20180301","20220508"
"양천구","학원","3000031182","수학에반하다수학전문학원","서울특별시 양천구 목동동로12길 20","/ 하버드 201호/ 405호 (신정동)","입시.검정 및 보습","보통교과","","보습?논술","32","40","","Y","N","08010","개원","20180302","","","20180302","20220508"
"서초구","교습소","3000031184","해법킹스턴영어교습소","서울특별시 서초구 바우뫼로7길 16","/ 702호 일부 (우면동/ 대화프라자)","입시.검정 및 보습","보통교과","영어초등1","보습","45","5","영어초등1:200000/ 영어초등2:270000/ 영어초등3:310000/ 영어중등1:300000/ 영어중등2:400000","Y","N","06762","개원","20180228","","","20180228","20220508"
"서초구","학원","3000031186","그레이스타인원격학원","서울특별시 강남구 개포로 652","/ 지하층101호 (일원동/ 빌딩스타3)","입시.검정 및 보습","보통교과","","보습?논술","10","10","","Y","N","06339","개원","20180228","","","20180228","20220508"
"서초구","학원","3000031189","맘스에듀케어서초우솔캠퍼스학원","서울특별시 서초구 양재대로2길 116-19","/ 2층 203호 (우면동)","입시.검정 및 보습","보통교과","","보습?논술","50","73","","N","N","06767","개원","20180304","","","20180304","20220508"
"서초구","교습소","3000031190","도곡해법수학교습소","서울특별시 강남구 남부순환로365길 22","/ 5층502호 (도곡동)","입시.검정 및 보습","보통교과","초등수학1","보습","17","3","초등수학1:350000/ 초등수학2:450000/ 중등수학:500000/ 고등수학:500000/ 초등수학1-6학년:250000","Y","N","06270","개원","20180228","","","20180304","20220508"
"광진구","교습소","3000031192","장희승영어교습소","서울특별시 광진구 자양로 165","/ 2층 203호 (구의동/ 송곡회관)","입시.검정 및 보습","보통교과","","보습","4","2","","Y","N","05024","개원","20180302","","","20180302","20220508"
"광진구","학원","3000031193","리차드잉글리쉬학원","서울특별시 광진구 아차산로 484","/ 3층일부 (구의동)","입시.검정 및 보습","보통교과","","보습","300","95","","Y","N","05117","개원","20180227","","","20180227","20220508"
"강남구","교습소","3000031197","스타매쓰스터디수학교습소","서울특별시 강남구 압구정로20길 15","/ 3층 303호 (신사동)","입시.검정 및 보습","보통교과","수학초등","보습","12","9","수학초등:645000/ 수학중등:645000/ 수학고등:645000","Y","N","06030","개원","20180302","","","20180302","20220508"
"송파구","학원","3000031199","엠알에스영어학원","서울특별시 송파구 동남로18길 39-1","/ 2층 (가락동)","입시.검정 및 보습","보통교과","보습/","보습","86","20","","Y","N","05782","개원","20180305","","","20180305","20220508"
"서초구","교습소","3000031204","이은NYU영어교습소","서울특별시 서초구 신반포로 177","/ 4층 410호 일부 및 411호 일부 (잠원동/ 반포쇼핑타운3동)","입시.검정 및 보습","보통교과","중등부영어","보습","2","2","중등부영어:360000","Y","N","06512","개원","20180302","","","20180302","20220508"
"동대문구","교습소","3000031205","하이탑영어교습소","서울특별시 동대문구 경희대로4길 79-1","/ 1층 103호 (이문동)","입시.검정 및 보습","보통교과","초등영어A","보습","16","4","초등영어A:110000/ 초등영어B:150000/ 초등영어C:160000/ 중등영어:200000","Y","N","02452","개원","20180305","","","20180305","20220508"
"강서구","교습소","3000031207","올(all)바른영어교습소","서울특별시 강서구 공항대로41길 51","/ 701호 (등촌동/ 세신그린코아빌딩)","입시.검정 및 보습","보통교과","초등영어","보습","18","6","초등영어:190000/ 중등영어:260000/ 고등영어:300000","Y","N","07586","개원","20180227","","","20180227","20220508"
"동대문구","학원","3000031208","개념의힘학원","서울특별시 동대문구 장한로36길 32","/ 201호?202호  (장안동)","입시.검정 및 보습","보통교과","보습/","보습","175","99","","Y","N","02522","개원","20180305","","","20180305","20220508"
