danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.208,0.524,2,-29.367,0,0.0409,0.0033,0.91,0.2,0.0349,86.85,audio_features,4ndtxpFn1DfrKoXwsSnNug,spotify:track:4ndtxpFn1DfrKoXwsSnNug,https://api.spotify.com/v1/tracks/4ndtxpFn1DfrKoXwsSnNug,https://api.spotify.com/v1/audio-analysis/4ndtxpFn1DfrKoXwsSnNug,128000,3
0.34,0.653,8,-30.151,1,0.258,0.125,0.959,0.26,0.0367,71.951,audio_features,2NJISxdOO1keYuVzst55Jw,spotify:track:2NJISxdOO1keYuVzst55Jw,https://api.spotify.com/v1/tracks/2NJISxdOO1keYuVzst55Jw,https://api.spotify.com/v1/audio-analysis/2NJISxdOO1keYuVzst55Jw,139402,3
0.122,0.113,10,-24.778,0,0.0594,0.000278,0.121,0.724,0.0186,77.419,audio_features,0gXGs4OoIwCEEDdKCwsOJE,spotify:track:0gXGs4OoIwCEEDdKCwsOJE,https://api.spotify.com/v1/tracks/0gXGs4OoIwCEEDdKCwsOJE,https://api.spotify.com/v1/audio-analysis/0gXGs4OoIwCEEDdKCwsOJE,208000,3
0.14,0.99,1,-18.064,1,0.185,0.000306,0.982,0.404,0.0138,77.965,audio_features,16HCJtRKmMbKKflHHQ7oJZ,spotify:track:16HCJtRKmMbKKflHHQ7oJZ,https://api.spotify.com/v1/tracks/16HCJtRKmMbKKflHHQ7oJZ,https://api.spotify.com/v1/audio-analysis/16HCJtRKmMbKKflHHQ7oJZ,98081,5
0.137,0.997,10,-12.326,1,0.171,0.00285,0.925,0.83,0.0101,101.547,audio_features,64dYaCKeQk2Dki02HFoWOi,spotify:track:64dYaCKeQk2Dki02HFoWOi,https://api.spotify.com/v1/tracks/64dYaCKeQk2Dki02HFoWOi,https://api.spotify.com/v1/audio-analysis/64dYaCKeQk2Dki02HFoWOi,102500,4
0.111,0.381,8,-24.635,1,0.0848,0.162,0.92,0.297,0.0715,85.788,audio_features,2Bk7dbzRy1TDNsL4mdH6dg,spotify:track:2Bk7dbzRy1TDNsL4mdH6dg,https://api.spotify.com/v1/tracks/2Bk7dbzRy1TDNsL4mdH6dg,https://api.spotify.com/v1/audio-analysis/2Bk7dbzRy1TDNsL4mdH6dg,174000,1
0.231,0.297,1,-28.71,1,0.181,0.000252,0.841,0.392,0.213,80.117,audio_features,5HRrUoj7oj7foIL10JVMu7,spotify:track:5HRrUoj7oj7foIL10JVMu7,https://api.spotify.com/v1/tracks/5HRrUoj7oj7foIL10JVMu7,https://api.spotify.com/v1/audio-analysis/5HRrUoj7oj7foIL10JVMu7,193785,3
0.194,0.691,1,-23.188,1,0.105,0.00833,0.918,0.382,0.0351,79.518,audio_features,5Bwc0m1mEGgtMOTtJell0T,spotify:track:5Bwc0m1mEGgtMOTtJell0T,https://api.spotify.com/v1/tracks/5Bwc0m1mEGgtMOTtJell0T,https://api.spotify.com/v1/audio-analysis/5Bwc0m1mEGgtMOTtJell0T,127060,3
0.208,0.54,5,-28.386,1,0.0557,0.00287,0.849,0.527,0.0392,59.587,audio_features,6suFVz8lztiEwk7WFcM1TN,spotify:track:6suFVz8lztiEwk7WFcM1TN,https://api.spotify.com/v1/tracks/6suFVz8lztiEwk7WFcM1TN,https://api.spotify.com/v1/audio-analysis/6suFVz8lztiEwk7WFcM1TN,164000,3
0.16,0.359,1,-25.255,1,0.0714,0.0144,0.928,0.476,0.0292,128.839,audio_features,0ru1Q1p2CUz9fuc0yNLpHw,spotify:track:0ru1Q1p2CUz9fuc0yNLpHw,https://api.spotify.com/v1/tracks/0ru1Q1p2CUz9fuc0yNLpHw,https://api.spotify.com/v1/audio-analysis/0ru1Q1p2CUz9fuc0yNLpHw,125755,4
0.0823,0.937,0,-24.119,1,0.0532,0.0755,0.984,0.746,0.0169,76.813,audio_features,7cJ41Y7QPLJiChkVBPcmsS,spotify:track:7cJ41Y7QPLJiChkVBPcmsS,https://api.spotify.com/v1/tracks/7cJ41Y7QPLJiChkVBPcmsS,https://api.spotify.com/v1/audio-analysis/7cJ41Y7QPLJiChkVBPcmsS,208000,3
0.216,0.266,10,-28.988,0,0.0553,0.417,0.847,0.137,0.0194,94.271,audio_features,6m4mgGH5VSiKwoAO6dym5k,spotify:track:6m4mgGH5VSiKwoAO6dym5k,https://api.spotify.com/v1/tracks/6m4mgGH5VSiKwoAO6dym5k,https://api.spotify.com/v1/audio-analysis/6m4mgGH5VSiKwoAO6dym5k,121019,1
