시·군·구별(1),시·군·구별(2),계(사회복지사),계(의사(계약의사포함)),계(간호사),계(간호조무사),계(치과위생사),계(물리(작업)치료사),계(요양보호사),계(영양사),계(사회복지사),재가(의사(계약의사포함)),재가(간호사),재가(간호조무사),재가(치과위생사),재가(물리(작업)치료사),재가(요양보호사),재가(영양사),시설(사회복지사),시설(계약의사포함),시설(간호사),시설(간호조무사),시설(치과위생사),시설(물리(작업)치료사),시설(요양보호사),시설(영양사)
경기,수원시장안구,181,28,41,84,-,18,2988,7,122,-,20,23,-,3,2365,1,60,28,22,62,-,18,630,6
경기,수원시권선구,154,18,39,58,-,14,2671,3,113,-,30,16,-,2,2298,-,42,18,9,42,-,13,381,3
경기,수원시팔달구,108,18,20,45,-,18,2304,2,76,-,9,11,-,1,1960,-,32,18,12,34,-,17,356,2
경기,수원시영통구,53,6,9,22,-,3,1219,2,45,-,7,10,-,1,1133,-,8,6,2,12,-,2,89,2
경기,성남시수정구,116,12,11,42,-,10,2250,4,88,-,3,19,-,1,1988,-,28,12,8,26,-,10,266,4
경기,성남시중원구,95,9,28,26,-,9,2066,6,77,-,5,10,-,1,1841,-,18,9,24,17,-,8,233,6
경기,성남시분당구,175,16,40,114,-,22,4343,3,148,1,27,89,-,10,4082,-,27,16,13,27,-,12,280,3
경기,의정부시,402,30,26,214,-,39,6497,9,250,1,14,61,-,1,5200,-,152,30,13,161,-,38,1365,9
경기,안양시만안구,157,18,41,70,-,15,2849,3,113,-,25,24,-,2,2399,-,45,18,16,48,-,14,462,3
경기,안양시동안구,140,10,29,37,-,6,3589,1,122,-,20,17,-,1,3362,-,18,10,9,20,-,6,237,1
경기,부천시,474,49,27,240,-,34,7996,5,317,7,14,68,-,4,6600,-,157,48,13,185,-,33,1426,5
경기,광명시,124,13,10,38,-,8,3052,5,100,-,3,13,-,-,2824,-,24,13,7,25,-,8,244,5
경기,평택시,231,36,16,114,-,24,4171,11,166,1,4,34,-,5,3551,-,65,35,13,86,-,20,691,11
경기,동두천시,116,15,5,70,-,21,1634,6,57,1,2,17,-,-,1198,-,60,15,3,57,-,21,466,6
경기,안산시상록구,177,24,25,120,-,21,2810,4,105,-,18,28,-,2,2120,-,72,24,7,94,-,20,702,4
경기,안산시단원구,122,24,12,106,-,21,2078,3,51,1,8,11,-,3,1435,-,71,24,4,97,-,19,661,3
경기,고양시덕양구,290,29,21,162,-,32,5740,10,172,-,3,40,-,3,4713,-,119,29,18,129,-,32,1084,10
경기,고양시일산동구,260,33,14,188,-,42,4741,17,118,-,3,21,-,-,3431,-,143,33,11,169,-,42,1399,17
경기,고양시일산서구,154,16,27,82,-,11,3559,3,113,-,26,36,-,1,3223,1,41,16,3,50,-,10,353,2
경기,과천시,18,1,3,5,-,1,293,2,14,-,3,1,-,-,256,-,4,1,-,4,-,1,37,2
경기,구리시,103,9,10,45,-,8,1828,4,79,-,8,19,-,-,1621,1,24,9,3,31,-,8,215,3
경기,남양주시,515,41,61,310,-,53,6794,11,308,3,26,94,-,2,5053,-,210,38,35,239,-,53,1853,11
경기,오산시,83,13,8,46,-,15,1334,1,54,-,1,15,-,3,1015,-,29,13,7,33,-,12,327,1
경기,시흥시,214,37,21,159,-,18,3740,6,125,-,12,30,-,3,2941,1,89,37,9,135,-,16,841,5
경기,군포시,141,23,18,73,-,14,2349,3,86,-,5,15,-,2,1797,-,55,23,13,62,-,13,557,3
경기,의왕시,69,9,8,29,-,6,1226,3,49,-,4,10,-,2,1066,1,20,9,4,20,-,4,165,2
경기,하남시,135,11,12,56,-,9,2132,2,108,2,8,28,-,-,1868,1,28,11,4,29,-,9,276,1
경기,용인시처인구,149,27,33,89,-,25,2678,12,86,-,11,12,-,2,2032,-,63,27,23,78,-,23,704,12
경기,용인시기흥구,203,23,49,114,-,32,3601,7,135,-,10,33,-,2,2845,-,68,23,39,90,-,31,798,7
경기,용인시수지구,165,14,36,72,-,14,3135,5,130,-,17,30,-,2,2788,2,35,14,19,47,-,13,381,3
경기,파주시,251,34,17,170,-,22,3809,10,138,2,4,35,-,1,2852,3,115,32,14,142,-,22,1041,7
경기,이천시,136,12,13,50,-,11,1806,6,94,-,9,14,-,1,1486,1,43,12,4,40,-,11,350,5
경기,안성시,119,27,10,100,-,23,1632,5,66,-,2,24,-,1,946,-,53,27,9,83,-,23,710,5
경기,김포시,183,16,42,98,-,16,2859,4,128,-,34,31,-,5,2424,1,55,16,8,73,-,11,480,3
경기,화성시,257,35,45,191,-,26,3596,5,171,1,25,90,-,3,2651,-,86,35,20,111,-,25,977,5
경기,광주시,165,16,43,88,-,19,2589,8,114,-,28,33,-,1,2065,-,51,16,17,57,-,19,545,8
경기,양주시,250,25,20,214,-,53,3595,16,110,-,6,43,-,1,2100,-,141,25,14,193,-,53,1547,16
경기,포천시,155,19,6,113,-,21,1753,5,90,-,-,29,-,5,1128,1,65,19,6,88,-,16,656,4
경기,여주시,100,17,11,54,-,7,1317,4,57,1,8,13,-,-,996,-,43,17,4,42,-,7,346,4
경기,연천군,42,5,-,22,-,2,698,2,30,-,-,7,-,-,582,-,12,5,-,18,-,2,125,2
경기,가평군,66,9,8,39,-,6,836,1,47,1,6,21,-,2,656,-,19,8,3,18,-,4,190,1
경기,양평군,108,14,7,58,-,11,1594,4,65,2,5,11,-,-,1241,-,44,14,2,48,-,11,406,4
강원,소계,1185,128,218,548,-,114,14830,69,766,5,94,133,-,9,10863,2,421,125,125,446,-,108,4115,67
강원,춘천시,256,27,51,121,-,17,3359,13,168,-,27,28,-,1,2642,2,88,27,24,95,-,16,764,11
강원,원주시,215,35,55,117,-,34,2607,17,131,1,16,21,-,2,1691,-,85,34,39,100,-,33,944,17
